City,Query,Resolved_name,Admin1,Latitude,Longitude,Elevation_m,Population,Timezone,Geonames_ID
Beograd,Belgrade,Belgrade,Central Serbia,44.80401,20.46513,120.0,1273651.0,Europe/Belgrade,792680
Smederevo,Smederevo,Smederevo,Central Serbia,44.66436,20.92763,80.0,62000.0,Europe/Belgrade,785756
Valjevo,Valjevo,Valjevo,Central Serbia,44.27513,19.89821,180.0,61035.0,Europe/Belgrade,3188402
Novi Sad,Novi Sad,Novi Sad,Vojvodina,45.25167,19.83694,79.0,215400.0,Europe/Belgrade,3194360
Beočin,Beocin,Beočin,Vojvodina,45.20829,19.72063,87.0,,Europe/Belgrade,3204289
Niš,Nis,Niš,Central Serbia,43.32472,21.90333,194.0,250000.0,Europe/Belgrade,787657
Kragujevac,Kragujevac,Kragujevac,Central Serbia,44.01667,20.91667,182.0,147473.0,Europe/Belgrade,789128
Zaječar,Zajecar,Zaječar,Central Serbia,43.90358,22.26405,130.0,49800.0,Europe/Belgrade,784024
Obrenovac,Obrenovac,Obrenovac,Central Serbia,44.65486,20.20017,78.0,16821.0,Europe/Belgrade,787516
Užice,Uzice,Užice,Central Serbia,43.85861,19.84878,438.0,63577.0,Europe/Belgrade,3188434
Bor,Bor,Bor,Central Serbia,44.07488,22.09591,405.0,39387.0,Europe/Belgrade,792456
Kosjerić,Kosjeric,Kosjerić,Central Serbia,43.99611,19.90694,423.0,,Europe/Belgrade,3197622
Čačak,Cacak,Čačak,Central Serbia,43.89139,20.34972,241.0,117072.0,Europe/Belgrade,792078
Novi Pazar,Novi Pazar,Novi Pazar,Central Serbia,43.13667,20.51222,511.0,85996.0,Europe/Belgrade,787595
Pirot,Pirot,Pirot,Central Serbia,43.15306,22.58611,371.0,40678.0,Europe/Belgrade,787050
Zemun,Zemun,Zemun,Central Serbia,44.8458,20.40116,100.0,155591.0,Europe/Belgrade,783920
Pančevo,Pancevo,Pančevo,Vojvodina,44.87177,20.64167,83.0,76654.0,Europe/Belgrade,787237
Kikinda,Kikinda,Kikinda,Vojvodina,45.82972,20.46528,84.0,41935.0,Europe/Belgrade,789518
Sombor,Sombor,Sombor,Vojvodina,45.77417,19.11222,89.0,48454.0,Europe/Belgrade,3190342
Subotica,Subotica,Subotica,Vojvodina,46.1,19.66667,115.0,100000.0,Europe/Belgrade,3189595
Vršac,Vrsac,Vršac,Vojvodina,45.11667,21.30361,96.0,36300.0,Europe/Belgrade,784136
Zrenjanin,Zrenjanin,Zrenjanin,Vojvodina,45.38361,20.38194,81.0,79773.0,Europe/Belgrade,783814
Loznica,Loznica,Loznica,Central Serbia,44.53118,19.24267,182.0,19515.0,Europe/Belgrade,3196153
