City,Date,T2m_mean_C,RH2m_mean_pct,Wind10m_mean_ms,Precipitation_sum_mm,Requested_latitude,Requested_longitude,Grid_latitude,Grid_longitude,Grid_elevation_m,Timezone,Source_model
Beograd,2019-10-07,10.4,71,2.3,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-10-08,10.4,60,2.14,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-10-09,15.2,60,3.43,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-10-10,15.1,72,2.83,3.8,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-10-11,13.4,74,1.61,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-10-12,15.0,68,2.44,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-10-13,16.2,74,1.44,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-10-14,17.3,72,1.98,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-10-15,18.4,65,2.19,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-10-16,18.6,58,2.23,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-10-17,16.3,73,1.25,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-10-18,16.9,73,1.11,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-10-19,17.2,71,1.51,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-10-20,17.7,63,2.05,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-10-21,17.5,64,1.77,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
