Date,City,Pollutant,Klimerko,SEPA_city_mean,SEPA_station_n,Season
2019-10-07,Beograd,PM10,21,30.31,3,Non-heating
2019-10-08,Beograd,PM10,16,24.11333333333333,3,Non-heating
2019-10-09,Beograd,PM10,22,37.40333333333334,3,Non-heating
2019-10-10,Beograd,PM10,23,31.63,3,Non-heating
2019-10-11,Beograd,PM10,13,20.44,3,Non-heating
2019-10-12,Beograd,PM10,32,38.67333333333333,3,Non-heating
2019-10-13,Beograd,PM10,53,50.17666666666667,3,Non-heating
2019-10-14,Beograd,PM10,51,71.73333333333333,3,Non-heating
2019-10-15,Beograd,PM10,58,76.65333333333334,3,Heating
2019-10-16,Beograd,PM10,28,57.10666666666666,3,Heating
2019-10-17,Beograd,PM10,45,67.20666666666666,3,Heating
2019-10-18,Beograd,PM10,55,81.89333333333333,3,Heating
2019-10-19,Beograd,PM10,75,95.04666666666667,3,Heating
2019-10-20,Beograd,PM10,58,84.14666666666666,3,Heating
2019-10-21,Beograd,PM10,50,68.53333333333333,3,Heating
2019-10-22,Beograd,PM10,122,106.6666666666667,3,Heating
2019-10-23,Beograd,PM10,50,86.54333333333334,3,Heating
2019-10-24,Beograd,PM10,28,60.24,3,Heating
2019-10-25,Beograd,PM10,78,101.1633333333333,3,Heating
2019-10-26,Beograd,PM10,90,122.63,3,Heating
2019-10-27,Beograd,PM10,99,114.8033333333333,3,Heating
2019-10-28,Beograd,PM10,80,103.9933333333333,3,Heating
2019-10-29,Beograd,PM10,40,53.37666666666667,3,Heating
2019-10-30,Beograd,PM10,14,23.51666666666667,3,Heating
2019-10-31,Beograd,PM10,12,19.65,3,Heating
2019-11-01,Beograd,PM10,9,17.09666666666667,3,Heating
2019-11-02,Beograd,PM10,14,22.70666666666667,3,Heating
2019-11-03,Beograd,PM10,9,16.98333333333333,3,Heating
2019-11-04,Beograd,PM10,8,17.53666666666667,3,Heating
2019-11-05,Beograd,PM10,5,13.86,3,Heating
2019-11-06,Beograd,PM10,14,11.28333333333333,3,Heating
2019-11-07,Beograd,PM10,19,23.65666666666667,3,Heating
2019-11-08,Beograd,PM10,29,28.2,3,Heating
2019-11-09,Beograd,PM10,25,16.23,3,Heating
2019-11-10,Beograd,PM10,33,23.67,3,Heating
2019-11-11,Beograd,PM10,37,29.17666666666667,3,Heating
2019-11-12,Beograd,PM10,44,25.56333333333333,3,Heating
2019-11-13,Beograd,PM10,24,15.38,3,Heating
2019-11-14,Beograd,PM10,22,26.57,3,Heating
2019-11-15,Beograd,PM10,20,29.20333333333333,3,Heating
2019-11-16,Beograd,PM10,14,19.32333333333333,3,Heating
2019-11-17,Beograd,PM10,21,13.79333333333333,3,Heating
2019-11-18,Beograd,PM10,20,21.29,3,Heating
2019-11-19,Beograd,PM10,23,23.57666666666666,3,Heating
2019-11-20,Beograd,PM10,15,16.11,3,Heating
2019-11-21,Beograd,PM10,12,13.82333333333333,3,Heating
2019-11-22,Beograd,PM10,7,6.463333333333334,3,Heating
2019-11-23,Beograd,PM10,8,11.05333333333333,3,Heating
2019-11-24,Beograd,PM10,13,12.78333333333333,3,Heating
2019-11-25,Beograd,PM10,13,11.23,3,Heating
2019-11-26,Beograd,PM10,49,35.72,3,Heating
2019-11-27,Beograd,PM10,32,43.48666666666666,3,Heating
2019-11-28,Beograd,PM10,30,21.26333333333333,3,Heating
2019-11-29,Beograd,PM10,22,28.10666666666667,3,Heating
2019-11-30,Beograd,PM10,13,16.62333333333333,3,Heating
2019-12-01,Beograd,PM10,26,28.73333333333333,3,Heating
2019-12-02,Beograd,PM10,32,21.22333333333333,3,Heating
2019-12-03,Beograd,PM10,26,27.22,3,Heating
2019-12-04,Beograd,PM10,40,50.43,3,Heating
2019-12-05,Beograd,PM10,34,46.61666666666667,3,Heating
2019-12-06,Beograd,PM10,52,73.83,3,Heating
