Date,City,Pollutant,Klimerko,SEPA_city_mean,SEPA_station_n,Season
2024-01-01,Example_A,PM2.5,21.36,16.54,1,Heating
2024-01-02,Example_A,PM2.5,23.28,23.98,1,Heating
2024-01-03,Example_A,PM2.5,12.61,8.93,1,Heating
2024-01-04,Example_A,PM2.5,21.06,18.48,1,Heating
2024-01-05,Example_A,PM2.5,20.62,16.52,1,Heating
2024-01-06,Example_A,PM2.5,24.34,24.32,1,Heating
2024-01-07,Example_A,PM2.5,21.23,22.94,1,Heating
2024-01-08,Example_A,PM2.5,22.97,18.34,1,Heating
2024-01-09,Example_A,PM2.5,22.71,17.84,1,Heating
2024-01-10,Example_A,PM2.5,24.88,22.26,1,Heating
2024-01-11,Example_A,PM2.5,20.77,17.15,1,Heating
2024-01-12,Example_A,PM2.5,26.53,23.23,1,Heating
2024-01-13,Example_A,PM2.5,20.06,17.59,1,Heating
2024-01-14,Example_A,PM2.5,24.04,22.85,1,Heating
2024-01-15,Example_A,PM2.5,23.69,22.77,1,Heating
2024-01-16,Example_A,PM2.5,30.74,25.76,1,Heating
2024-01-17,Example_A,PM2.5,20.26,16.36,1,Heating
2024-01-18,Example_A,PM2.5,24.9,25.81,1,Heating
2024-01-19,Example_A,PM2.5,22.11,17.73,1,Heating
2024-01-20,Example_A,PM2.5,19.4,20.09,1,Heating
2024-01-01,Example_A,PM10,38.11,32.36,1,Heating
2024-01-02,Example_A,PM10,32.61,27.13,1,Heating
2024-01-03,Example_A,PM10,35.88,29.64,1,Heating
2024-01-04,Example_A,PM10,39.04,32.12,1,Heating
2024-01-05,Example_A,PM10,38.4,31.16,1,Heating
2024-01-06,Example_A,PM10,36.98,31.74,1,Heating
2024-01-07,Example_A,PM10,30.13,23.54,1,Heating
2024-01-08,Example_A,PM10,34.22,25.77,1,Heating
2024-01-09,Example_A,PM10,35.13,32.89,1,Heating
2024-01-10,Example_A,PM10,32.91,29.57,1,Heating
2024-01-11,Example_A,PM10,29.77,23.22,1,Heating
2024-01-12,Example_A,PM10,37.29,31.85,1,Heating
2024-01-13,Example_A,PM10,39.62,34.28,1,Heating
2024-01-14,Example_A,PM10,35.51,27.31,1,Heating
2024-01-15,Example_A,PM10,40.47,32.0,1,Heating
2024-01-16,Example_A,PM10,32.07,22.62,1,Heating
2024-01-17,Example_A,PM10,33.63,28.72,1,Heating
2024-01-18,Example_A,PM10,38.01,32.72,1,Heating
2024-01-19,Example_A,PM10,35.86,29.45,1,Heating
2024-01-20,Example_A,PM10,40.2,31.43,1,Heating
2024-01-01,Example_B,PM2.5,26.96,22.05,1,Heating
2024-01-02,Example_B,PM2.5,23.82,20.44,1,Heating
2024-01-03,Example_B,PM2.5,20.63,20.55,1,Heating
2024-01-04,Example_B,PM2.5,23.67,21.5,1,Heating
2024-01-05,Example_B,PM2.5,27.61,25.88,1,Heating
2024-01-06,Example_B,PM2.5,28.49,24.92,1,Heating
2024-01-07,Example_B,PM2.5,24.27,21.69,1,Heating
2024-01-08,Example_B,PM2.5,19.35,13.75,1,Heating
2024-01-09,Example_B,PM2.5,20.94,16.34,1,Heating
2024-01-10,Example_B,PM2.5,27.97,22.1,1,Heating
2024-01-11,Example_B,PM2.5,24.99,26.39,1,Heating
2024-01-12,Example_B,PM2.5,25.22,24.88,1,Heating
2024-01-13,Example_B,PM2.5,23.04,20.36,1,Heating
2024-01-14,Example_B,PM2.5,23.11,20.01,1,Heating
2024-01-15,Example_B,PM2.5,30.4,21.53,1,Heating
2024-01-16,Example_B,PM2.5,28.91,26.27,1,Heating
2024-01-17,Example_B,PM2.5,24.93,18.11,1,Heating
2024-01-18,Example_B,PM2.5,27.73,23.04,1,Heating
2024-01-19,Example_B,PM2.5,28.5,25.3,1,Heating
2024-01-20,Example_B,PM2.5,34.11,28.89,1,Heating
2024-01-01,Example_B,PM10,36.04,29.65,1,Heating
2024-01-02,Example_B,PM10,41.16,37.18,1,Heating
2024-01-03,Example_B,PM10,43.75,36.2,1,Heating
2024-01-04,Example_B,PM10,46.4,33.63,1,Heating
2024-01-05,Example_B,PM10,38.13,27.96,1,Heating
2024-01-06,Example_B,PM10,39.27,27.5,1,Heating
2024-01-07,Example_B,PM10,43.5,34.27,1,Heating
2024-01-08,Example_B,PM10,35.22,25.42,1,Heating
2024-01-09,Example_B,PM10,42.49,36.66,1,Heating
2024-01-10,Example_B,PM10,49.36,48.24,1,Heating
2024-01-11,Example_B,PM10,43.16,31.7,1,Heating
2024-01-12,Example_B,PM10,33.11,27.63,1,Heating
2024-01-13,Example_B,PM10,38.52,29.8,1,Heating
2024-01-14,Example_B,PM10,39.46,31.36,1,Heating
2024-01-15,Example_B,PM10,46.31,37.59,1,Heating
2024-01-16,Example_B,PM10,41.54,30.3,1,Heating
2024-01-17,Example_B,PM10,35.61,27.32,1,Heating
2024-01-18,Example_B,PM10,42.22,39.24,1,Heating
2024-01-19,Example_B,PM10,43.09,37.56,1,Heating
2024-01-20,Example_B,PM10,40.7,29.19,1,Heating
2024-01-01,Example_C,PM2.5,13.28,11.18,1,Heating
2024-01-02,Example_C,PM2.5,25.79,20.65,1,Heating
2024-01-03,Example_C,PM2.5,20.77,16.49,1,Heating
2024-01-04,Example_C,PM2.5,21.28,20.75,1,Heating
2024-01-05,Example_C,PM2.5,17.06,16.19,1,Heating
2024-01-06,Example_C,PM2.5,15.21,16.2,1,Heating
2024-01-07,Example_C,PM2.5,16.14,11.91,1,Heating
2024-01-08,Example_C,PM2.5,12.99,13.65,1,Heating
2024-01-09,Example_C,PM2.5,24.55,22.63,1,Heating
2024-01-10,Example_C,PM2.5,17.9,17.82,1,Heating
2024-01-11,Example_C,PM2.5,23.73,22.17,1,Heating
2024-01-12,Example_C,PM2.5,17.0,19.58,1,Heating
2024-01-13,Example_C,PM2.5,20.49,23.59,1,Heating
2024-01-14,Example_C,PM2.5,19.64,14.65,1,Heating
2024-01-15,Example_C,PM2.5,13.57,18.54,1,Heating
2024-01-16,Example_C,PM2.5,26.07,22.8,1,Heating
2024-01-17,Example_C,PM2.5,17.78,21.25,1,Heating
2024-01-18,Example_C,PM2.5,15.01,12.02,1,Heating
2024-01-19,Example_C,PM2.5,22.14,19.09,1,Heating
2024-01-20,Example_C,PM2.5,19.68,17.86,1,Heating
2024-01-01,Example_C,PM10,33.49,31.34,1,Heating
2024-01-02,Example_C,PM10,32.64,28.39,1,Heating
2024-01-03,Example_C,PM10,24.21,19.74,1,Heating
2024-01-04,Example_C,PM10,29.18,20.1,1,Heating
2024-01-05,Example_C,PM10,29.18,22.75,1,Heating
2024-01-06,Example_C,PM10,36.49,25.48,1,Heating
2024-01-07,Example_C,PM10,33.08,25.35,1,Heating
2024-01-08,Example_C,PM10,31.79,28.8,1,Heating
2024-01-09,Example_C,PM10,35.39,32.61,1,Heating
2024-01-10,Example_C,PM10,32.75,24.46,1,Heating
2024-01-11,Example_C,PM10,32.61,27.16,1,Heating
2024-01-12,Example_C,PM10,34.35,24.54,1,Heating
2024-01-13,Example_C,PM10,34.14,28.31,1,Heating
2024-01-14,Example_C,PM10,43.98,40.93,1,Heating
2024-01-15,Example_C,PM10,30.63,24.03,1,Heating
2024-01-16,Example_C,PM10,28.32,21.32,1,Heating
2024-01-17,Example_C,PM10,35.57,32.36,1,Heating
2024-01-18,Example_C,PM10,31.52,23.63,1,Heating
2024-01-19,Example_C,PM10,25.98,20.78,1,Heating
2024-01-20,Example_C,PM10,30.45,23.16,1,Heating
