Pollutant,City,n,R2,RMSE,MAE,MBE,Pearson,CCC
PM2.5,Beograd,1913,0.7227128318586069,8.574896873075502,5.508443630246469,-0.11231480925099856,0.8515887177434334,0.8312838129202949
PM2.5,Beočin,1246,0.5640947508560785,8.764947163092456,5.981843890081826,-0.862694273303523,0.7588802244477427,0.7005233547311478
PM2.5,Bor,1258,-2.572336615722219,12.40335214892233,10.018188813844176,9.177016210563794,0.6368189152916897,0.37018928350175706
PM2.5,Kosjerić,844,0.6939997223440872,13.203774150147478,8.142620154821463,-2.346569477514054,0.8440004260130236,0.8055321882311345
PM2.5,Kragujevac,731,0.5035417831946583,11.675585507840783,7.309150948931871,4.119311858126365,0.8602157981164733,0.8158349892496014
PM2.5,Niš,1757,0.7545243511902804,11.62612783188745,7.247713113678428,1.3347879581048485,0.8746629846529097,0.8490631780817716
PM2.5,Novi Pazar,579,0.8211805311300846,16.183767930235707,9.508577012162679,-5.410821269712928,0.918345313458054,0.899534651833479
PM2.5,Novi Sad,1639,0.6865881948886311,7.258057997987662,5.030150654060882,1.593957575806626,0.8392250140706111,0.826609690868373
PM2.5,Obrenovac,971,0.6105842054025445,12.584178781145715,7.691595631841343,-3.6032341435954036,0.8302017208319198,0.7236346985331789
PM2.5,Pirot,1054,0.5536290868125795,16.028826829341593,10.243170422144642,6.220325336025581,0.7992596154673175,0.7697295450170556
PM2.5,Smederevo,1677,0.6538725643846397,13.606310672852214,8.438856189038379,-4.309622121595571,0.8351106358840211,0.7815163253850329
PM2.5,Užice,955,0.5899564325658957,16.454175676340807,10.78715361501972,-5.865717857566091,0.8016122361713965,0.7632265745129515
PM2.5,Valjevo,1308,0.7646514324638043,13.061278776552005,7.352053165887351,-3.725775048171374,0.8855644072701487,0.8668450905896264
PM2.5,Čačak,928,0.6234442531016928,11.717892370194617,6.859109952581082,2.263357953174629,0.8264992561827333,0.8203319920496086
PM10,Beograd,1913,0.4879632912529679,13.995530786320199,9.254550110755964,4.288617880989617,0.7332734894823757,0.6891093560163886
PM10,Beočin,1255,0.318565957644815,13.291270650227759,10.11393567660213,1.668233530831191,0.5739080458579391,0.4878819943884599
PM10,Bor,1227,0.06444285398974514,17.80234653683843,12.319346003544148,2.083712684000675,0.37726682286781177,0.3377505524023512
PM10,Kikinda,333,0.43008582210464663,9.928592424458696,7.804339075146131,2.740066946108892,0.752683996460272,0.7364584110212308
PM10,Kosjerić,834,0.6133401015451899,16.093928136731535,11.644242499475984,-0.644801045492952,0.7866111968912308,0.7769010824195127
PM10,Kragujevac,1020,0.47810074696007043,14.969677283658037,10.436791465845051,5.365718640216193,0.7886758339561185,0.763141041038739
PM10,Loznica,341,0.44480581449626744,20.590960865763346,14.316213287625526,-11.6363618587546,0.8059917488633208,0.6503907637120319
PM10,Niš,1757,0.6067144739873557,16.1016794148964,12.424012469779376,7.647103351471202,0.8339948415648831,0.7772843764228878
PM10,Novi Pazar,577,0.7973661648314936,17.27966888086975,11.131251233494929,-0.3259682418257066,0.8972145715287632,0.8970670949743493
PM10,Novi Sad,1641,0.40862771460419867,12.37500492936598,8.278176070490534,3.380664339623936,0.6775295005383991,0.634262883772214
PM10,Obrenovac,1231,0.4095649384116148,20.810639035010194,13.124086544594535,-7.768243810960943,0.7554707111449033,0.5484512541225568
PM10,Pančevo,289,0.7290214297191483,8.688839537774632,6.352931572726858,-0.6915107316669867,0.859464261949832,0.8301274314296335
PM10,Pirot,1048,0.2689858598060273,21.652903319918096,15.552863896050923,12.34340358682056,0.7572927698327172,0.6780207017514149
PM10,Smederevo,1730,0.5167811601520368,18.27687492360785,11.836937256008268,-5.0983312888940935,0.7447591309522557,0.6917235324050344
PM10,Sombor,319,0.16342972174068715,20.530815894030493,10.98252760272191,4.221932265430638,0.4756189055305519,0.42168165661235724
PM10,Subotica,364,0.45099328196842026,14.666580969752331,10.014017659083011,-8.206515919604543,0.8187125087545342,0.6420835121870019
PM10,Užice,941,0.49919098635602166,21.6424945848572,14.318185121618372,-7.113404093927778,0.7452177221485505,0.7017633535352822
PM10,Valjevo,1304,0.5993536368579314,22.09415785999642,13.405219741150601,-9.868176418728869,0.8316214024371219,0.7495076748540622
PM10,Vršac,359,0.10423870917651346,12.527074031594598,9.734992699386197,5.435337306872979,0.6186257758300615,0.5676403547313736
PM10,Zaječar,1212,0.5954058810595704,31.17246394443247,17.11301407423266,-9.240355402190628,0.8138222096565646,0.7192454009538651
PM10,Zemun,358,0.5831410330100475,17.702714449603615,12.637400961848325,-6.630593581311342,0.8481428745037793,0.6985881547918216
PM10,Zrenjanin,289,0.27550621521989993,18.518158824607493,11.232403485815297,-4.090880075819137,0.5578815034080112,0.47059009304955457
PM10,Čačak,925,0.34718998131249146,16.176073709994153,11.316428943927825,7.463677493923058,0.7814562361639106,0.730915992708027
